# x_m,y_m,w_tr_right_m,w_tr_left_m
4.0200,0.6600,0.6021,0.6021
3.9700,0.6100,0.6021,0.6021
3.9200,0.5600,0.6021,0.6021
3.8700,0.5100,0.6021,0.6021
3.8200,0.5100,0.5831,0.5831
3.7700,0.4600,0.6042,0.6042
3.7200,0.4100,0.5831,0.5831
3.6700,0.4100,0.6042,0.6042
3.6200,0.3600,0.5831,0.5831
3.5700,0.3100,0.5590,0.5590
3.5200,0.3100,0.5657,0.5657
3.4700,0.2600,0.5385,0.5385
3.4200,0.2100,0.5148,0.5148
3.3700,0.2100,0.5408,0.5408
3.3200,0.2100,0.5148,0.5148
3.2700,0.2100,0.4924,0.4924
3.2200,0.1600,0.5220,0.5220
3.1700,0.1600,0.5099,0.5099
3.1200,0.1600,0.5025,0.5025
3.0700,0.1100,0.5500,0.5500
3.0200,0.1100,0.5500,0.5500
2.9700,0.1100,0.5500,0.5500
2.9200,0.1100,0.5500,0.5500
2.8700,0.0600,0.6000,0.6000
2.8200,0.0600,0.6000,0.6000
2.7700,0.0600,0.6000,0.6000
2.7200,0.0600,0.6000,0.6000
2.6700,0.0600,0.6000,0.6000
2.6200,0.0600,0.6000,0.6000
2.5700,0.0100,0.6500,0.6500
2.5200,0.0100,0.6500,0.6500
2.4700,0.0100,0.6500,0.6500
2.4200,0.0100,0.6500,0.6500
2.3700,-0.0400,0.7000,0.7000
2.3200,-0.0400,0.7000,0.7000
2.2700,-0.0400,0.7000,0.7000
2.2200,-0.0400,0.7000,0.7000
2.1700,-0.0400,0.7000,0.7000
2.1200,-0.0400,0.7000,0.7000
2.0700,-0.0400,0.7000,0.7000
2.0200,-0.0400,0.7000,0.7000
1.9700,-0.0400,0.7000,0.7000
1.9200,-0.0400,0.6964,0.6964
1.8700,0.0100,0.6500,0.6500
1.8200,0.0100,0.6500,0.6500
1.7700,0.0100,0.6325,0.6325
1.7200,0.0100,0.6185,0.6185
1.6700,0.0100,0.6083,0.6083
1.6200,0.0100,0.6021,0.6021
1.5700,0.0100,0.6000,0.6000
1.5200,0.0100,0.6000,0.6000
1.4700,0.0600,0.5500,0.5500
1.4200,0.0600,0.5500,0.5500
1.3700,0.0600,0.5500,0.5500
1.3200,0.0600,0.5500,0.5500
1.2700,0.0600,0.5500,0.5500
1.2200,0.1100,0.5000,0.5000
1.1700,0.1100,0.5000,0.5000
1.1200,0.1100,0.5000,0.5000
1.0700,0.1100,0.5000,0.5000
1.0200,0.1100,0.5025,0.5025
0.9700,0.1100,0.5099,0.5099
0.9200,0.1100,0.5220,0.5220
0.8700,0.1100,0.5099,0.5099
0.8200,0.1100,0.5025,0.5025
0.7700,0.1100,0.4924,0.4924
0.7200,0.1100,0.4743,0.4743
0.6700,0.1100,0.4610,0.4610
0.6200,0.1100,0.4528,0.4528
0.5700,0.1100,0.4500,0.4500
0.5200,0.1100,0.4500,0.4500
0.4700,0.1100,0.4500,0.4500
0.4200,0.1100,0.4500,0.4500
0.3700,0.1100,0.4500,0.4500
0.3200,0.1100,0.4500,0.4500
0.2700,0.0600,0.4000,0.4000
0.2200,0.0600,0.4000,0.4000
0.1700,0.0600,0.4000,0.4000
0.1200,0.0600,0.4000,0.4000
0.0700,0.0600,0.4000,0.4000
0.0200,0.0600,0.4000,0.4000
-0.0300,0.0600,0.4000,0.4000
-0.0800,0.0600,0.4000,0.4000
-0.1300,0.0600,0.4000,0.4000
-0.1800,0.0100,0.3500,0.3500
-0.2300,0.0100,0.3500,0.3500
-0.2800,0.0100,0.3500,0.3500
-0.3300,0.0100,0.3500,0.3500
-0.3800,0.0100,0.3500,0.3500
-0.4300,0.0100,0.3500,0.3500
-0.4800,0.0100,0.3536,0.3536
-0.5300,0.0100,0.3640,0.3640
-0.5800,0.0100,0.3808,0.3808
-0.6300,0.0100,0.3808,0.3808
-0.6800,0.0100,0.3640,0.3640
-0.7300,-0.0400,0.3808,0.3808
-0.7800,-0.0400,0.4000,0.4000
-0.8300,-0.0400,0.4000,0.4000
-0.8800,-0.0400,0.3808,0.3808
-0.9300,-0.0900,0.4123,0.4123
-0.9800,-0.1400,0.4528,0.4528
-1.0300,-0.1400,0.4472,0.4472
-1.0800,-0.1900,0.4743,0.4743
-1.1300,-0.2400,0.5099,0.5099
-1.1800,-0.2900,0.5385,0.5385
-1.2300,-0.3400,0.5701,0.5701
-1.2800,-0.3900,0.6000,0.6000
-1.3300,-0.4400,0.5500,0.5500
-1.3300,-0.4900,0.5523,0.5523
-1.3300,-0.5400,0.5590,0.5590
-1.3800,-0.5900,0.5220,0.5220
-1.3800,-0.6400,0.5385,0.5385
-1.3800,-0.6900,0.5500,0.5500
-1.3800,-0.7400,0.5500,0.5500
-1.3800,-0.7900,0.5500,0.5500
-1.3800,-0.8400,0.5385,0.5385
-1.3800,-0.8900,0.5220,0.5220
-1.4300,-0.9400,0.5000,0.5000
-1.4300,-0.9900,0.5000,0.5000
-1.4300,-1.0400,0.5025,0.5025
-1.4300,-1.0900,0.5099,0.5099
-1.4300,-1.1400,0.5220,0.5220
-1.4300,-1.1900,0.5385,0.5385
-1.4300,-1.2400,0.5500,0.5500
-1.4300,-1.2900,0.5500,0.5500
-1.4300,-1.3400,0.5500,0.5500
-1.4300,-1.3900,0.5500,0.5500
